Title,GenreID,Runtime,IMDBScore,Language,Premiere_Date
Serious Men,G7,114,6.8,Hindi,02-10-2020
The Boys in the Band,G7,121,6.8,English,30-09-2020
The Boys in the Band: Something Personal,G13,28,6.8,English,30-09-2020
The Life Ahead,G7,95,6.8,Italian,13-11-2020
The Other Side of the Wind,G7,122,6.8,English,02-11-2018
The Trader,G1,23,6.8,Georgian,09-02-2018
To the Bone,G7,107,6.8,English,14-07-2017
Tony Parker: The Final Shot,G1,98,6.8,French,06-01-2021
AK vs AK,G2,108,6.9,Hindi,24-12-2020
Amanda Knox,G1,92,6.9,English,30-09-2016
Bigflo & Oli: Hip Hop Frenzy,G1,100,6.9,French,08-10-2020
Biggie: I Got a Story to Tell,G1,97,6.9,English,01-03-2021
Cops and Robbers,G11,7,6.9,English,28-12-2020
I Don't Feel at Home in This World Anymore,G7,96,6.9,English,24-02-2017
Laerte-se,G1,100,6.9,Portuguese,19-05-2017
Mank,G15,132,6.9,English,04-12-2020
Our Souls at Night,G10,103,6.9,English,29-09-2017
Outlaw King,G14,121,6.9,English,09-12-2018
Pagglait,G6,114,6.9,Hindi,26-03-2021
ReMastered: Who Shot the Sheriff?,G1,57,6.9,English,12-10-2018
Seeing Allred,G1,95,6.9,English,09-02-2018
Spelling the Dream,G1,83,6.9,English,03-06-2020
The Claudia Kishi Club,G1,17,6.9,English,10-07-2020
The Half of It,G10,105,6.9,English,01-05-2020
The Highwaymen,G7,131,6.9,English,29-03-2019
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,G6,30,6.9,English,23-05-2019
The Meyerowitz Stories (New and Selected),G6,112,6.9,English,13-10-2017
Feminists: What Were They Thinking?,G1,86,7,English,12-10-2018
Gaga: Five Foot Two,G1,100,7,English,22-09-2017
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,G13,14,7,English,03-11-2020
Kingdom of Us,G1,109,7,English,13-10-2017
"Lorena, Light-Footed Woman",G1,28,7,Spanish,20-11-2019
Los Tigres del Norte at Folsom Prison,G1,64,7,Spanish,15-09-2019
Ma Rainey's Black Bottom,G7,94,7,English,18-12-2020
Ma Rainey's Black Bottom: A Legacy Brought to Screen,G13,31,7,English,18-12-2020
Operation Varsity Blues: The College Admissions Scandal,G1,99,7,English,17-03-2021
Pele,G1,108,7,English,23-02-2021
ReMastered: Devil at the Crossroads,G1,48,7,English,26-04-2019
ReMastered: The Lion's Share,G1,84,7,English,17-05-2019
ReMastered: The Miami Showband Massacre,G1,70,7,English,22-03-2019
Resurface,G1,27,7,English,01-09-2017
Rocko's Modern Life: Static Cling,G11,45,7,English,09-08-2019
Rose Island,G6,117,7,Italian,09-12-2020
The Christmas Chronicles,G6,104,7,English,22-11-2018
The Dirt,G15,108,7,English,22-03-2019
The Night Comes for Us,G2,121,7,Indonesian,19-10-2018
13th: A Conversation with Oprah Winfrey & Ava DuVernay,G13,36,7.1,English,26-01-2017
Angela's Christmas,G11,30,7.1,English,30-12-2018
Angela's Christmas Wish,G11,47,7.1,English,01-12-2020
Beats,G7,110,7.1,English,19-06-2019
Circus of Books,G1,92,7.1,English,22-04-2020
Dance Dreams: Hot Chocolate Nutcracker,G1,80,7.1,English,27-11-2020
Derren Brown: Sacrifice,G7,49,7.1,English,19-10-2018
El Pepe: A Supreme Life,G1,73,7.1,Spanish,27-12-2019
End Game,G1,40,7.1,English,04-05-2018
Evelyn,G1,96,7.1,English,10-09-2019
Ferry,G7,106,7.1,Dutch,14-05-2021
Grass Is Greener,G1,97,7.1,English,20-04-2019
Guillermo Vilas: Settling the Score,G1,94,7.1,Spanish,27-10-2020
Joshua: Teenager vs. Superpower,G1,78,7.1,English,26-05-2017
Keith Richards: Under the Influence,G1,81,7.1,English,18-09-2015
Knock Down the House,G1,87,7.1,English,01-05-2019
Loudon Wainwright III: Surviving Twin,G13,91,7.1,English,13-11-2018
My Beautiful Broken Brain,G1,91,7.1,English,18-03-2016
One of Us,G1,95,7.1,English,20-10-2017
Pieces of a Woman,G7,126,7.1,English,07-01-2021
"Ram Dass, Going Home",G1,31,7.1,English,06-05-2018
ReMastered: Tricky Dick & the Man in Black,G1,58,7.1,English,02-11-2018
Rooting for Roona,G1,41,7.1,Bengali,15-10-2020
The Devil All the Time,G2,138,7.1,English,16-09-2020
The Dig,G7,112,7.1,English,29-01-2021
The Great Hack,G1,114,7.1,English,24-07-2019
The White Tiger,G7,125,7.1,English,22-01-2021
To All the Boys I've Loved Before,G17,99,7.1,English,17-08-2018
American Murder: The Family Next Door,G1,82,7.2,English,30-09-2020
Audrie & Daisy,G1,98,7.2,English,23-09-2016
First They Killed My Father,G7,136,7.2,Khmer,15-09-2017
Fyre: The Greatest Party That Never Happened,G1,97,7.2,English,18-01-2019
Into the Inferno,G1,107,7.2,English,28-10-2016
LA Originals,G1,92,7.2,English,10-04-2020
Ladies First,G1,39,7.2,English,08-03-2018
Love per Square Foot,G17,133,7.2,Hindi,14-02-2018
Paddleton,G7,89,7.2,English,22-02-2019
